Date,Equal_Weight,60_40_Stock_Bond,SPY_Only
2016-03-01 00:00:00-05:00,0.0,0.0,0.0
2016-03-02 00:00:00-05:00,0.0,0.0,0.0
2016-03-03 00:00:00-05:00,0.0,-0.001258159104650226,0.0
2016-03-04 00:00:00-05:00,-0.0022549198452131948,-0.00465027066734063,0.0
2016-03-07 00:00:00-05:00,-0.006637999456788234,-0.009406196953139162,0.0
2016-03-08 00:00:00-05:00,-0.00976249609353172,-0.008788064746085032,-0.010917617492960009
2016-03-09 00:00:00-05:00,-0.006559060750999422,-0.006175260421387323,-0.006032154196537845
2016-03-10 00:00:00-05:00,-0.007436103044185672,-0.010377801640164693,-0.005234335206938045
2016-03-11 00:00:00-05:00,-0.0003295712637933789,-0.00394720758728717,0.0
2016-03-14 00:00:00-04:00,-0.0011594114277262237,-0.0019824455451221434,-0.001282258693227376
2016-03-15 00:00:00-04:00,-0.0007192885382843424,-0.0014665869894312281,-0.0029098330888271467
2016-03-16 00:00:00-04:00,0.0,0.0,0.0
2016-03-17 00:00:00-04:00,0.0,0.0,0.0
2016-03-18 00:00:00-04:00,0.0,0.0,0.0
2016-03-21 00:00:00-04:00,0.0,-0.0007873489835334999,0.0
2016-03-22 00:00:00-04:00,0.0,-0.00018369200822456608,-0.0005379418800486408
2016-03-23 00:00:00-04:00,-0.0018085479221992427,0.0,-0.007133615154086212
2016-03-24 00:00:00-04:00,-0.0011895137296390901,0.0,-0.007573455057962
2016-03-28 00:00:00-04:00,-0.0010868016793860397,0.0,-0.006987031023765361
2016-03-29 00:00:00-04:00,0.0,0.0,0.0
2016-03-30 00:00:00-04:00,0.0,-0.00032214211712491337,0.0
2016-03-31 00:00:00-04:00,0.0,0.0,-0.0024268293223648025
2016-04-01 00:00:00-04:00,0.0,0.0,0.0
2016-04-04 00:00:00-04:00,-0.004217196284005133,-0.002641860070644016,-0.0032376550281727175
2016-04-05 00:00:00-04:00,-0.006339163746426296,-0.003772908242096254,-0.013193511324867693
2016-04-06 00:00:00-04:00,-0.0020925426469114165,-0.0008352214810492678,-0.00241627416133498
2016-04-07 00:00:00-04:00,-0.005754213375388635,-0.003191649327621965,-0.014353347159492868
2016-04-08 00:00:00-04:00,-0.0057742311366616155,-0.004558582642301576,-0.011695307083827804
2016-04-11 00:00:00-04:00,-0.004058480873810605,-0.005350171506200212,-0.014014892191705295
2016-04-12 00:00:00-04:00,-0.0013856873975218894,-0.004688974431451381,-0.004832461761297103
2016-04-13 00:00:00-04:00,0.0,0.0,0.0
2016-04-14 00:00:00-04:00,-0.0026217783186169344,-0.0014618304081792776,0.0
2016-04-15 00:00:00-04:00,0.0,0.0,-0.0011053654267319747
2016-04-18 00:00:00-04:00,0.0,0.0,0.0
2016-04-19 00:00:00-04:00,-0.0015910268100951528,-0.004556760836348766,0.0
2016-04-20 00:00:00-04:00,-0.005695455162399441,-0.010215616902227203,0.0
2016-04-21 00:00:00-04:00,-0.0065459866223883155,-0.01301101695303069,-0.005378411656291511
2016-04-22 00:00:00-04:00,-0.024100989640469903,-0.027443520183839623,-0.005378411656291511
2016-04-25 00:00:00-04:00,-0.02273998562481793,-0.027647571347069196,-0.007092301366670132
2016-04-26 00:00:00-04:00,-0.025341662906518337,-0.031659955514394024,-0.005616347697958066
2016-04-27 00:00:00-04:00,-0.02210708397481641,-0.026767770205652294,-0.003569722634435315
2016-04-28 00:00:00-04:00,-0.029979328413174848,-0.035574939860648,-0.012613338246074577
2016-04-29 00:00:00-04:00,-0.031234318467925213,-0.03889612934421294,-0.017944094493089147
2016-05-02 00:00:00-04:00,-0.026053122991341802,-0.03621108646452245,-0.010138240754957171
2016-05-03 00:00:00-04:00,-0.031896816316720804,-0.038052185034363833,-0.01875295768310474
2016-05-04 00:00:00-04:00,-0.037316131215675515,-0.04069924738983518,-0.024226509655591193
2016-05-05 00:00:00-04:00,-0.035309900685835914,-0.03713181508278717,-0.024416960790339885
2016-05-06 00:00:00-04:00,-0.02998556641126624,-0.03469127423177229,-0.02084715290472516
2016-05-09 00:00:00-04:00,-0.03346052570190222,-0.034071108019636635,-0.020038033961171344
2016-05-10 00:00:00-04:00,-0.022637289381766224,-0.02471422536056143,-0.007853509147408918
2016-05-11 00:00:00-04:00,-0.02262842351027437,-0.024706157458896576,-0.017134634544817964
2016-05-12 00:00:00-04:00,-0.026069739497416998,-0.027758170025619932,-0.016849384098591963
2016-05-13 00:00:00-04:00,-0.002438632335947196,-0.004832952980589918,-0.025416786622180353
2016-05-16 00:00:00-04:00,0.0,0.0,-0.01580215861101264
2016-05-17 00:00:00-04:00,-0.005545120146865671,-0.00508856997779933,-0.02498814369222675
2016-05-18 00:00:00-04:00,-0.004915679562332962,-0.005473893143205013,-0.024702381738924434
2016-05-19 00:00:00-04:00,-0.006825089292821852,-0.005830499455983565,-0.028081994243328686
2016-05-20 00:00:00-04:00,-9.825020428631982e-05,0.0,-0.021942119052760167
2016-05-23 00:00:00-04:00,-0.002325641039631209,-0.0010217046997177453,-0.023275021242462262
2016-05-24 00:00:00-04:00,0.0,0.0,-0.010614112838290281
2016-05-25 00:00:00-04:00,0.0,0.0,-0.00390288424347595
2016-05-26 00:00:00-04:00,0.0,0.0,-0.0036174632948912664
2016-05-27 00:00:00-04:00,0.0,0.0,0.0
2016-05-31 00:00:00-04:00,0.0,0.0,-0.0019027318437942451
2016-06-01 00:00:00-04:00,0.0,0.0,0.0
2016-06-02 00:00:00-04:00,0.0,0.0,0.0
2016-06-03 00:00:00-04:00,0.0,0.0,-0.002987363512637396
2016-06-06 00:00:00-04:00,0.0,-0.0014535818083529263,0.0
2016-06-07 00:00:00-04:00,0.0,-0.00042768257921116056,0.0
2016-06-08 00:00:00-04:00,0.0,0.0,0.0
2016-06-09 00:00:00-04:00,0.0,0.0,-0.0013656323834350579
2016-06-10 00:00:00-04:00,-0.006592017699235121,-0.005327653063980708,-0.010830260969717122
2016-06-13 00:00:00-04:00,-0.009485987830566008,-0.007931500629498305,-0.018458387261699613
2016-06-14 00:00:00-04:00,-0.010460758081835385,-0.00915110353103464,-0.020388844254316026
2016-06-15 00:00:00-04:00,-0.008082272308175127,-0.007157117411056009,-0.021754307957861783
2016-06-16 00:00:00-04:00,-0.005039829626813123,-0.001644589243097851,-0.01883504945441347
2016-06-17 00:00:00-04:00,-0.010256898053139825,-0.00983193195746308,-0.022489077555470912
2016-06-20 00:00:00-04:00,-0.00813689381361513,-0.00968323247624625,-0.016193775408462684
2016-06-21 00:00:00-04:00,-0.008397172505006928,-0.008203812239533611,-0.013401364181736524
2016-06-22 00:00:00-04:00,-0.009497597890561512,-0.008859868889624648,-0.015010485985315965
2016-06-23 00:00:00-04:00,-0.0005769085889159294,-0.002688817056413489,-0.002183392486559387
2016-06-24 00:00:00-04:00,-0.016933986572628113,-0.018021340598652166,-0.038014121542969175
2016-06-27 00:00:00-04:00,-0.02450458365196746,-0.019493124145529072,-0.055243001091865175
2016-06-28 00:00:00-04:00,-0.013653536977406363,-0.007587187920050628,-0.03820354905860616
2016-06-29 00:00:00-04:00,-0.002178493380372197,0.0,-0.02182616559068591
2016-06-30 00:00:00-04:00,0.0,0.0,-0.008478778973512133
2016-07-01 00:00:00-04:00,0.0,0.0,-0.006396172720784809
2016-07-05 00:00:00-04:00,0.0,0.0,-0.013543055288713437
2016-07-06 00:00:00-04:00,0.0,0.0,-0.007626692512923964
2016-07-07 00:00:00-04:00,0.0,0.0,-0.00824195240899354
2016-07-08 00:00:00-04:00,0.0,0.0,0.0
2016-07-11 00:00:00-04:00,0.0,0.0,0.0
2016-07-12 00:00:00-04:00,0.0,-0.0007116781909092211,0.0
2016-07-13 00:00:00-04:00,0.0,0.0,-0.00013943198790307358
2016-07-14 00:00:00-04:00,0.0,-0.0017749810735939201,0.0
2016-07-15 00:00:00-04:00,-0.004627748801235232,-0.007501752593291261,-0.0013415902032255316
2016-07-18 00:00:00-04:00,-0.0013250613390738898,-0.005005778834515974,0.0
2016-07-19 00:00:00-04:00,-0.0018942015028207025,-0.004312409686632206,-0.001016371368133453
2016-07-20 00:00:00-04:00,0.0,0.0,0.0
2016-07-21 00:00:00-04:00,-0.0015371763930320597,-0.0031621950262127924,-0.003777128566420566
2016-07-22 00:00:00-04:00,0.0,0.0,0.0
2016-07-25 00:00:00-04:00,0.0,0.0,-0.002716262823937263
2016-07-26 00:00:00-04:00,0.0,0.0,-0.0022558695629528447
2016-07-27 00:00:00-04:00,0.0,0.0,-0.003314618220139175
2016-07-28 00:00:00-04:00,0.0,0.0,-0.002163840124359602
2016-07-29 00:00:00-04:00,0.0,0.0,-0.0005528328129404802
2016-08-01 00:00:00-04:00,-0.0021268202841273932,-0.004903740956591862,-0.0013815078736433828
2016-08-02 00:00:00-04:00,-0.0068407138434468445,-0.012910392861017654,-0.007779768468040361
2016-08-03 00:00:00-04:00,-0.004917697472450871,-0.010342729822305564,-0.004879610812261355
2016-08-04 00:00:00-04:00,0.0,-0.0029437090661652006,-0.0038209441777474593
2016-08-05 00:00:00-04:00,0.0,-0.000412011555735295,0.0
2016-08-08 00:00:00-04:00,0.0,0.0,-0.000595695978137435
2016-08-09 00:00:00-04:00,0.0,0.0,0.0
2016-08-10 00:00:00-04:00,-0.0010049391897430358,-0.0006409382957000263,-0.0024748252297091627
2016-08-11 00:00:00-04:00,0.0,0.0,0.0
2016-08-12 00:00:00-04:00,0.0,0.0,-0.000869293736937104
2016-08-15 00:00:00-04:00,0.0,-0.0023739583644239648,0.0
2016-08-16 00:00:00-04:00,-0.0033318717051253224,-0.006767929261216551,-0.005157468121846776
2016-08-17 00:00:00-04:00,-0.005186900747487146,-0.006977139184294792,-0.0032861434298927916
2016-08-18 00:00:00-04:00,-0.0010322259894329237,-0.003559349605614271,-0.0010494838465371502
2016-08-19 00:00:00-04:00,-0.0031733342880270977,-0.0054661209058596665,-0.0025099287808418775
2016-08-22 00:00:00-04:00,-0.0010607535812926158,-0.0012504641113614636,-0.0025556363073262443
2016-08-23 00:00:00-04:00,0.0,0.0,-0.0005475143563924387
2016-08-24 00:00:00-04:00,-0.006572096737559602,-0.004836752019965949,-0.005659274951754975
2016-08-25 00:00:00-04:00,-0.008195348455307951,-0.007114230927519142,-0.006344318538191987
2016-08-26 00:00:00-04:00,-0.008518020341507603,-0.008637298170499975,-0.008215480569909459
2016-08-29 00:00:00-04:00,-0.004847800896029095,-0.0023154574720676236,-0.0033319322864953514
2016-08-30 00:00:00-04:00,-0.009529413151948884,-0.005995374091065877,-0.004974963336382587
2016-08-31 00:00:00-04:00,-0.01226554083286037,-0.007812801014597501,-0.007804763472496715
2016-09-01 00:00:00-04:00,-0.005749348589816572,-0.0022564671633036985,-0.007759055946012347
2016-09-02 00:00:00-04:00,-0.0055181658383416125,-0.005610957167865458,-0.0032861434298927916
2016-09-06 00:00:00-04:00,0.0,-8.060487353243791e-05,-0.00027335052760468314
2016-09-07 00:00:00-04:00,-0.0029164302809168313,-0.002371427482594334,-0.00036500957092825006
2016-09-08 00:00:00-04:00,-0.006693563492413148,-0.008107233204994534,-0.0026469700301766587
2016-09-09 00:00:00-04:00,-0.03040192144863612,-0.03252001439334773,-0.02651849837274686
2016-09-12 00:00:00-04:00,-0.01955068453362047,-0.022467144200900898,-0.012551595827049065
2016-09-13 00:00:00-04:00,-0.03015740457785435,-0.03378738911286906,-0.026746792014813607
2016-09-14 00:00:00-04:00,-0.027994224003967887,-0.03198305264800932,-0.027111720255623535
